move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
20,B,40.86,59.14,O18,"O18 J17 L17 D17 M3 J15 D18 C18 R12 P14 Q13 Q14 O12 L18 M17 M18 N14 L15 S18 S12 S11 S13 R11",M17,O18 M17 
21,W,40.93,59.07,M18,"M18 K17 N17 R16 S16 Q15 R15 P15 R16 O18 L17 K18 M15 N14 K16 J16 K15 J15 J14 H14 J13 M13 P13",M18,M18 L4 
22,B,41.92,58.08,K17,"R16 S16 K17 N17 Q15 R15 P15 R16 O18 L17 K18 M15 K15 K14 J15 M13 O13 Q13 N14 M14 O11",R16,K17 R16 L17 O18 
23,W,42.26,57.74,S16,"S16 K17 N17 Q15 R15 P15 R16 O18 L17 K18 M15 N15 M14 N14 M13 K15 L16 K16 R11 O12 M11 Q13 Q14",S16,S16 R15 
24,B,42.35,57.65,K17,"K17 N17 Q15 R15 P15 L17 K18 R16 O18 M15 N15 M14 N14 M13 K15 L16 N16 K16 J16 J15 H16 J14 L18",K17,K17 L17 O18 Q15 P15 Q14 
25,W,41.20,58.80,N17,"N17 Q15 P15 M16 P14 N16 L18 O18 H17 K18 G15 L3 R3 S3 Q4 R5 R2 N3 S2 R10 E3 D5 H3 C9 C2 B2 D2 C17 B17",N17,N17 O18 L17 L18 D4 
26,B,41.38,58.62,Q15,"Q15 P15 M16 P14 N16 L18 O18 H17 K18 G15 L3 R3 S3 Q4 R5 R2 N3 S2 R10 E3 D5 H3 C9 C2 B2 D2 C17 B17",Q15,Q15 M16 O18 P15 N16 
27,W,40.50,59.50,P15,"P15 M16 P14 N16 L18 O18 H17 K18 G15 L3 R3 S3 Q4 R5 R2 Q13 Q11 R9 R10 Q9 J18 K19 D6 F4",P15,P15 R15 
28,B,40.95,59.05,M16,"M16 P14 N16 L18 O18 H17 K18 G15 L3 R3 S3 Q4 R5 R2 Q13 R9 P13 S12 R11 R12 N3 S2",M16,M16 P14 O15 O18 L17 N16 
29,W,39.86,60.14,P14,"P14 N16 L18 O18 H17 K18 G15 M3 E3 C6 H3 J3 H4 J4 J5 H5 J2 K2 H2 L5 J6 Q3 Q2",L4,P14 O18 N16 L18 K18 D4 J17 L17 M3 K16 O15 
30,B,44.27,55.73,J3,"N16 L18 O18 H17 J17 G18 J18 H15 C17 B17 D16 C18",J3,J3 P14 N16 O18 C12 N3 
31,W,43.12,56.88,D6,"D4 D3 E4 B5 E3 J5 D7 D6 E6 C6 F7 E8 F8 L2 M3 M2",F4,D6 F4 D4 G17 C5 P14 J17 N16 O18 C7 C6 L18 G3 K18 R8 H17 
32,B,44.33,55.67,C6,"N16 D5 B5 D3 C4 D4 L2 B6 C6 C5 B7 B4",D6,C6 D6 N16 J5 D5 K5 P14 O18 M3 O15 
33,W,43.19,56.81,H4,"H4 N16 L18 O18 H17 J17 H16 F16 H18 E14 J15 K18",J5,H4 J5 E6 O18 
34,B,44.72,55.28,N3,"N16 L18 O18 H17 K18 G15 D9 J18 C17 B17 B18 D17",C12,N3 P14 N16 C12 M3 O18 H5 F6 N4 G3 
35,W,41.37,58.63,G17,"G17 O18 G15 E13 E14 C17 B17 D16 C18 D18 D17 H16 G16 C17",C8,G17 C8 E3 D17 H17 F16 P14 F6 O18 N16 J17 H16 R8 L18 K18 
36,B,46.24,53.76,N16,"N16 J17 J16 H17 K18 H16 F16 J15 K16 G15",E12,N16 E12 F6 C10 E13 B14 D16 
37,W,42.82,57.18,F14,"F14 G16 D17 E16 B13 E8 C10 D9 F6 B12 C5 D5 C6 C4",C13,F14 C5 C13 E8 D17 G17 H17 F16 D4 J17 O18 P14 
38,B,47.14,52.86,F6,"N16 L18 O18 H17 J17 H16 F16 F13 G15 H15 G14 K15 K16 J13",B13,F6 B11 N16 B13 P14 N3 C17 D8 M3 O18 C10 
39,W,46.71,53.29,B14,"B14 B11 E8 F6 H4 C5 A13 G8 B12 C11 F9",B14,B14 D17 
40,B,48.24,51.76,B11,"C17 B12 B11 A13 D16 E3 C5 M3 C11 B16 F7 F16 G18 J17 L18 G17 F17 H16",F6,B11 C17 F6 D13 N16 D8 N3 P14 M3 E8 E7 O18 F7 D4 
41,W,45.28,54.72,B12,"B12 G3 G4 F3 E4 D3 C5 C6 B6 D5 D4 C4 B5 H4",E7,B12 H4 E7 G5 C5 E3 N16 O18 L18 G3 P14 G17 F16 H17 J17 
42,B,48.45,51.55,D13,"D13 C14 E6 H4 F9 C5 E4 E3 D4 C10 B11 B4 C18",E6,D13 E6 D7 
43,W,44.74,55.26,D4,"D4 D13 C14 C4 D3 C6 H4 N16 M3 B11 F16 C17 B17 B18",E9,D4 B12 H4 C5 G5 
44,B,50.52,49.48,N3,"B11 C5 E4 E3 D4 H4 B7 B8 C7",L3,N3 B11 H5 C7 N16 C17 P14 G3 D13 G8 H4 L3 H6 G4 F8 O18 M3 B6 B7 
45,W,51.45,48.55,M3,"M3 M4 K3 L2 K4 K2 N3 G3 G5 M5 F3 O4 R3 S3 Q3 S2 P5 O3 O2",M3,M3 C5 D4 O18 M4 
46,B,51.78,48.22,M4,"M4 K3 L2 K4 K2 N3 G3 G5 F3 M5 H6 G6 F7 E4 C5 B12 B11 D12 A12 D11",M4,M4 K4 
47,W,51.59,48.41,K3,"K3 L2 K4 K2 N3 H4 H5 G4 G5 F5 E4 D4 M5 H2 R8 N16 S6 Q8 Q9 P8 R7 S5",K3,K3 L5 M5 K4 N3 C5 D4 L2 M2 
48,B,51.00,49.00,L2,"L2 K4 K2 N3 G3 G5 M5 R3 S3 F3 H2 C5 D4 C6 D7 B9 F2 D5 Q3",L2,L2 K4 
49,W,50.51,49.49,K4,"K4 K2 N3 G3 G5 M5 R3 S3 F3 H2 C5 D4 C6 D7 B9 F2 D5 Q3 R2 Q4",K4,K4 M5 L5 M2 N4 K2 
50,B,50.71,49.29,K2,"K2 N3 G3 G5 M5 R3 S3 F3 O4 Q2 O3 O2 N4 M1 M2 N2 R2 Q3 S2 H2 J2 G2 Q1 P1 R1 H3 C7 J4 N16 C5 B8",K2,K2 N3 
51,W,50.62,49.38,N3,"N3 G3 G5 M5 R3 S3 F3 O4 Q2 O3 O2 N4 M1 M2 N2 R2 Q3 S2 H2 J2 H3 J4 K5 H4 G2 Q1 P1 R1 H5 N1 G4 L1 J1",N3,N3 M5 
52,B,50.85,49.15,H4,"H4 H5 G4 G5 F5 E4 D4 M5 H2 R8 Q3 G17 L18 F13 C17 B17 F12 G13 G12 H13 H12 G8 C10 H16 J13",J4,H4 G3 H5 J4 G4 H2 M5 H3 
53,W,39.07,60.93,H5,"H5 O4 L6 O3 N4 N2 M2 M1 N5 P2 O5 P4 C5",H5,H5 H4 
54,B,39.28,60.72,G3,"G3 G4 F3 E4 D3 E3 E2 D2 F2 C5 C7 D4 B4 B8 F9 F8 G8 G7 G9 E10 G11",G4,G3 O4 G4 H2 K5 G2 
55,W,47.93,52.07,G3,"G3 G5 H4 H3 G2 H2 K6 J1 M5 C5 R8 Q8 Q9 R9 S8 P8 R10",D3,G3 H4 G5 
56,B,58.48,41.52,G5,"G5 C4 D4 B4 M5 L6 M6 L7 Q3 Q5 R5 P6 M7 Q7 R6 M8",G5,G5 M5 D4 G3 C4 F3 
57,W,51.16,48.84,G3,"G3 M5 L6 H4 H2 J2 C4 Q3 Q2 R2 Q5 R5 P6 M6 Q7 R6",C4,G3 C4 H2 
58,B,56.54,43.46,M5,"M5 L6 M6 G3 H4 R3 S3 S2 R2 Q3 T2 S1 S5 Q2 L7 B4 N16 F16 C17 B17 D16 C18 D17",M5,M5 D4 O4 B3 M6 L6 
59,W,55.51,44.49,L6,"L6 M6 G3 H4 R3 S3 S2 R2 Q3 T2 S1 S5 Q2 L7 B4 G9 F16 N16 F17 G11 B12 H17 G18",L6,L6 R3 
60,B,55.62,44.38,M6,"M6 G3 H4 R3 S3 S2 D4 B4 E3 D2 E4 E2 F2 C2 N16 L7 M7 L8 M8 L9 R2 Q3 T2",M6,M6 D4 O4 
61,W,54.38,45.62,G3,"G3 H4 R3 S3 S2 D4 B4 E3 D2 E4 E2 F2 C2 N16 L7 M7 L8 M8 L9 R2 Q3 T2",L7,G3 L7 R3 M7 R2 H4 H2 
62,B,60.12,39.88,D4,"D4 G3 H4 D5 E4 E3 E5 H2 J2 B3 C2 B4 Q3 Q5 R5 P6 M7 Q7",D4,D4 M7 Q3 R3 R2 O4 Q2 B3 
63,W,58.35,41.65,G3,"G3 H4 D5 E4 E3 E5 B3 C2 B4 Q3 H2 J2 Q5 R5 P6 M7 Q7",H4,G3 B3 B4 D5 C5 C2 Q5 M7 H2 R3 H4 E4 E3 D2 
64,B,70.95,29.05,H3,"H3 G3 H6 J6 L5 K5 J7 K6 G2 F3 M7 L8 F2 D5 C5 E4 B4 E2 D4 F1 H2 C4 M2 N2 J1",H3,H3 L5 
65,W,70.95,29.05,G3,"G3 H6 K5 G2 F3 F2 C2 E3 B3 E4 M7 O6 R3 S3 S2 R2 Q3 T2 S1 S5 Q2 N16 F16 C17 F17 D16 B16 E15 F13 F15 E18",G3,G3 M7 
66,B,71.10,28.90,H6,"H6 K5 G2 F3 F2 C2 E3 B3 E4 M7 O6 R3 S3 S2 R2 Q3 T2 S1 S5 Q2 B5 B12 N16 L18 P14 O15 O18 H17 K18 F16 C17 F17",G2,H6 G2 
67,W,70.81,29.19,F3,"F3 H6 K5 F2 C2 E3 B3 E4 M7 O6 R3 S3 S2 R2 Q3 T2 S1 S5 Q2 B5 B12 D2 G7 G6 G17 N16 G15 C17 B17 D16",F3,F3 M7 
68,B,72.18,27.82,H6,"H6 K5 F2 C2 E3 B3 E4 M7 O6 R3 S3 S2 R2 Q3 T2 S1 S5 Q2 B5 B12 D2 G7 F7 G6 F5 G8 F8 G9 F9 G10 N16 F10 G16 R8",H6,H6 F2 D2 C5 E3 E4 
69,W,71.81,28.19,K5,"K5 F2 C2 E3 B3 E4 M7 O6 R3 S3 S2 R2 Q3 T2 S1 S5 Q2 B5 B12 D2 G17 L18 G15 C17 B17 D13 C14 B11 D11",K5,K5 J6 L5 K6 J7 
70,B,71.84,28.16,F2,"F2 C2 E3 B3 E4 R3 S3 M7 O6 S2 R2 Q3 T2 S1 S5 Q2 B5 B12 D2 G7 F7 G6 F5 G8 F8 G9 F9 G10 N16 F10 G16 R8",F2,F2 D2 E3 C5 E4 M2 M7 
71,W,71.27,28.73,C2,"C2 E3 B3 E4 R3 S3 M7 O6 S2 R2 Q3 T2 S1 S5 Q2 B5 B12 D2 G7 F7 G6 F5 G8 F8 G9 F9 G10 N16 F10 G16 R8",D5,C2 D5 E2 B3 
72,B,73.74,26.26,C5,"C5 E4 B4 E2 D4 F1 H2 C4 M2 C2 D4 N2 E5 B3 F5 E3 M1 M7 O6 R3 S3 S2 R2 Q3 T2 S4 S1 R5 N7 Q5 N9 M9",C5,C5 B4 E2 E4 D2 M7 C6 C2 
73,W,70.74,29.26,E4,"E4 B4 N16 O15 P14 N15 C2 D4 L17 E5 L16 M15 O18 M7 L8 M8 R3 S3 S2 R2 Q3 T2 S1 S5 Q2",E4,E4 B4 
74,B,67.94,32.06,B4,"B4 N16 N15 O15 O18 L18 K18 C2 D4 L17 O14 R15 L16 C4 P14 Q14 D4 N14 M15 C4 M7 L8 D4 K16 M14",B4,B4 M7 
75,W,59.81,40.19,N16,"N16 N15 O18 O15 P14 D4 M15 O13 M14 N13 L18 M7 L8 M8 L9 Q3 C4 E5 D4",N16,N16 E2 C2 G7 Q5 O18 D4 B5 C6 P14 B3 R3 M7 O15 
76,B,58.96,41.04,N15,"N15 O18 O15 P14 L18 C2 D4 M15 O13 C4 K6 L5 D4 O14 N14 C4 M7 L8 D4 N13 M14 C4 P13 Q14 D4 M13 L14 C4 B3 E2 M2 N2 M1 C6 D4 F1 H2 C4",O15,N15 O15 M7 D4 E5 
77,W,57.72,42.28,P14,"P14 N15 O18 D13 C14 L18 C2 D4 M15 O13 C4 K6 L5 D4 O14 N14 C4 P13 Q14 D4 N13 M14 C4 M7 L8 D4 M13 L14 C4 B3 E2 M2 N2 J2 H1 J1 F1 H2 C6 D4 E1 G1 C4 B5 D4 C7 B7 B6 D7 C6 B9 G8",P14,P14 B5 
78,B,58.68,41.32,M7,"M7 N15 O14 P13 L8 K8 O18 K9 O13 M14 P12 M8 L9",M7,M7 N15 O18 D4 O14 E5 
79,W,57.67,42.33,L8,"L8 N15 O18 M8 M15 D4 L15 L9 K9 K10 J9 J10 H9 R2 C4 J7 K8",M15,L8 N15 G7 C2 M15 E2 
80,B,57.62,42.38,D4,"O14 L8 N15 O18 P13 Q14 L18 O13 N14 B5",L8,D4 L8 O14 N15 O18 Q3 R2 Q2 E5 
81,W,55.61,44.39,K8,"K8 D4 K9 O18 K16 O14 C4 P13 Q14 D4 R3 S3 C4 L15 J17 D4",K8,K8 G7 J7 R3 
82,B,57.48,42.52,L9,"D4 K9 O18 K16 O14 P13 L15 N15 M13 J17 O13 C4 L16 K18 D4 R3 S3 C4 K15 L17",G8,L9 D4 K9 N15 O14 J6 Q3 O18 R2 Q2 G8 
83,W,53.93,46.07,L9,"K10 Q3 M8 L9 K9 N8 M9 L10 L11 M10 N9 M11 O8 O6",L9,L9 K10 K9 H7 J9 C2 B5 R3 G9 E2 K16 G7 
84,B,54.52,45.48,M8,"M8 J9 Q3 Q2 R2 G9 D4 Q5 R5 C4 K10 K9 D4 P6 Q7 C4 N15 O18 D4 L15 N10 C4 O13 O14 D4 Q4",M8,M8 N15 
85,W,55.02,44.98,J9,"J9 F10 M9 N9 N10 M10 O10 O9 P10 P9 L10 M11 L11 M12 L12 Q10 M13",K9,J9 K9 K10 R3 B5 C2 
86,B,58.67,41.33,N10,"N10 E2 D4 F1 H2 C4 M2 C2 D4 N2 E5 B3 F5 E3 J1 R3",N10,N10 D4 Q3 Q2 O14 N15 J6 D13 O18 E5 F10 R2 
87,W,57.78,42.22,L11,"L12 F10 R3 S3 S2 D4 B12 R2 Q3 T2 S1 S5 Q2 O14 P13 O18 K16",G10,L11 L12 E2 G10 R3 R2 M11 K16 O14 C2 P6 L15 B5 G9 O5 O18 B3 Q5 M2 N15 
88,B,63.81,36.19,D4,"D4 R3 O14 C4 P13 Q14 D4 O18 S3 C4 Q3 R2 Q2 Q4",Q3,D4 Q2 Q3 F10 R2 N15 O14 O18 H10 J6 B6 
89,W,59.41,40.59,Q2,"Q2 R2 E2 D4 F1 H2 C4 J1 C2 D4 Q5 R5 C4 D13 C14 D4 P6 Q7 C4 F10",Q2,Q2 P6 E2 K16 F13 H17 C2 O14 B5 G9 L11 H16 F16 M11 L12 O18 G17 D4 
90,B,59.65,40.35,R2,"R2 E2 D4 Q4 R3 C4 C2 O5 E5 M2 J2 Q5 R5 P6 Q7 O2 L11 J10",R2,R2 O2 
91,W,57.97,42.03,O5,"O5 P6 E2 M2 C2 D4 F1 H2 C4 J6 K7 D4 J1 N2 C4 F10",Q5,O5 Q5 C2 E2 P6 K16 Q4 B5 C6 B3 O14 L11 G9 M11 L15 M2 
92,B,60.15,39.85,R5,"R5 P6 P4 Q7 R6 O4 O5 E2 D4 P5 Q4 C4 C2 O6 N5 B5 D4 M9 N9 C4 C6 B3",R5,R5 Q4 P4 R6 
93,W,59.98,40.02,E2,"E2 D4 F1 H2 C4 M2 C2 D4 Q4 R3 C4 J6 K7 D4 N2 E5 B3 F5 E3 J1",P6,E2 P6 C2 Q4 B5 K16 B3 
94,B,63.13,36.87,P4,"P4 Q7 R6 O4 O5 E2 D4 P5 Q4 C4 C2 O6 N5 B5 D4 M9 N9 C4 C6 B3 D4 F1 H2 C4 A4 A3 D4 N8 O8",P4,P4 Q7 P7 P5 D4 O4 O14 E5 O18 N15 
95,W,62.61,37.39,Q7,"Q7 R6 O4 O5 M2 D4 P5 Q4 C4 E2 B5 D4 O6 B6 N5 O8 P8 P9 Q9 P10 O14 R8",O4,Q7 O4 K16 E2 C2 O14 L15 B5 B3 C6 P5 M11 N15 
96,B,64.59,35.41,O5,"O5 E2 D4 P5 Q4 C4 J6 K7 D4 C2 E5 B3 F5 E3 M2 C4 F10 F9 G9 H10 E10 D10",Q7,O5 Q7 D4 N15 P7 O14 
97,W,59.38,40.62,C2,"E2 D4 F1 H2 C4 M2 C2 D4 P5 Q4 C4 D13 C14 D4 O8 M9 C4",P7,C2 E2 O8 M2 B5 P5 B3 K16 P7 M9 O2 O14 
98,B,66.37,33.63,O5,"O5 C2 D4 P5 Q4 C4 J6 K7 D4 E2 E5 B3 F5 E3 F10 F9 G9 H10 E10 D10 G12",O5,O5 P8 P9 M9 O14 J6 N15 
99,W,66.61,33.39,C2,"C2 D4 P5 Q4 C4 J6 K7 D4 N5 E5 O8 M9 Q8 P9 R8 P8 O6 R7 S7 R6 O9 O10",B5,C2 E2 P5 M2 B3 B5 K16 Q8 P9 O14 
100,B,77.00,23.00,D4,"D4 P5 Q4 C4 C6 B3 D4 H2 J2 C4 K7 A4 J7 Q8 N15 O18 O13 L18 K15 L15 P13 K14 K16 J14 K18 G17",D4,D4 C6 
101,W,77.42,22.58,P5,"P5 Q4 C4 C6 P8 D4 O6 N5 M9 N9 N8 O2 O3 P2",P5,P5 J2 R3 H2 
102,B,74.67,25.33,Q4,"Q4 C4 C6 P8 B3 M2 E2 M9 N9 N5 O8 N6 L11 J10 O14 P13 O13",Q4,Q4 E5 
103,W,72.83,27.17,C4,"C4 C6 O8 M9 N5 P9 Q8 P8 B3 D4 R6 R7 C4 J10 L11 D4 R8 S6 C4 K11 A4 L12",C4,C4 H2 
104,B,71.24,28.76,C6,"C6 O8 P8 B3 D4 Q8 P9 C4 J6 K7 D4 R6 R7 C4 F10 M2 D4 R8 S7 C4 L5 K6 D4 L1 E5 J2 H2 K1 D13 C14 F9 C2 C4",C6,C6 J6 J7 K7 
105,W,65.49,34.51,O8,"O8 M9 B3 D4 H2 J2 C4 K7 A4 J7 Q8 N15 O18 O13 L15 P13 L17 Q14 R15 Q13 R12",O8,O8 P8 B3 E2 M2 N5 M9 P9 Q8 K16 O6 
106,B,66.51,33.49,N15,"N15 O18 O13 L15 M9 Q8 P9 O9 O10 P10 N4 P11 B3 N12 N13 M12 K16",M9,N15 M9 N9 E5 P8 O14 B3 D4 O6 P9 B2 N4 O18 J6 Q8 J7 
107,W,64.96,35.04,B3,"B3 D4 H2 J2 C4 F10 A4 F9 Q8 P9 P8 N4 L11 R10 Q10 Q11 Q9 P11",N5,B3 N5 Q8 E2 M2 
108,B,78.42,21.58,Q8,"Q8 P9 O11 Q9 O14 P13 O13 K16 P12 R8 S7 S8 R7 R11 P8 B3",Q8,Q8 P9 P8 B3 N15 O14 J6 O18 L11 
109,W,76.96,23.04,P9,"P9 O11 Q9 O14 P13 O13 P12 L15 M14 O12 K16 J17 L14 K15",O10,P9 O10 B3 O9 E2 M2 O2 
110,B,81.30,18.70,O11,"O11 P9 P10 O9 L11 P11 J10 K11 J11 K12 K10 L10 M11 H9",O11,O11 P8 O14 N15 B3 P10 L11 M11 O18 D4 O9 
111,W,80.47,19.53,P9,"P9 O14 P13 O13 P11 O12 M11 L11 M12 M10 K16 P12 Q11 Q12",P9,P9 P10 B3 O9 
112,B,82.28,17.72,O14,"O14 O18 P10 O9 L11 P11 J10 K11 K10 L10 M10 B3 D4",O14,O14 P10 L11 P11 N15 Q10 Q11 O18 K11 J6 P2 B3 P8 
113,W,80.57,19.43,O18,"P11 O12 K16 L15 J17 M14 N15 P13 Q14 N14 L16 B3 E2 M2",N11,O18 P11 P13 B3 E2 N11 K16 K11 
114,B,87.45,12.55,M11,"M11 N12 P13 Q14 M14 M13 L15 L13 L11 J10 K12 N15 N14 L14",M11,M11 P13 L10 P10 J6 
115,W,88.13,11.87,N12,"N12 M14 M13 L15 B3 D4 N15 N14 C4 P13 A4 Q14 L11 L12",N12,N12 B3 
116,B,89.24,10.76,M14,"M14 M13 L15 B3 D4 N15 N14 C4 P13 A4 Q14 L11 L12 M12 M10",P13,M14 P13 M12 O12 P10 J10 L11 P11 L12 K11 M13 J6 N15 P2 
117,W,86.38,13.62,Q14,"Q14 M14 M12 P10 O9 L11 N15 N14 L12 K11 L14 L15 K15 L13 L16 K12 K13 M13",Q14,Q14 R15 B3 
118,B,87.32,12.68,M14,"M14 M12 P10 O9 L11 N15 N14 L12 K11 L14 L15 K12 J11 K15 L16 K16 L17 J17 K14 L13 J16",L11,M14 M12 P11 L11 N15 P10 L13 K11 L12 M13 J10 J6 O12 P2 
119,W,82.20,17.80,J10,"J10 M13 P11 O12 B3 D4 N13 N14 C4 H11 A4 H10 H9 G9 H8 H7 J11 J12 H12",J10,J10 P11 M13 B3 E2 N13 O13 
120,B,85.29,14.71,M13,"M13 O12 P11 P12 P10 B3 D4 N9 M10 C4 H11 A4 H10 H9 G9 J11 J12 H12 G11 K12 J13",M13,M13 P11 P10 N13 M14 O12 N15 J6 
121,W,84.90,15.10,O12,"O12 P11 P12 P10 N9 M10 B3 D4 Q10 C4 Q11 L15 L16 L17 L14 N15 M14",O12,O12 P11 B3 O18 E2 N13 N9 H2 J2 
122,B,85.74,14.26,P11,"P11 P12 P10 N9 M10 B3 D4 Q10 C4 Q11 L15 L14 M14 N15 K14 L13 K13 L12 M12 K12 K11 J12 J11 H11",P11,P11 L15 N15 O18 J6 P8 
123,W,85.72,14.28,P12,"P12 P10 N9 M10 Q10 O9 B3 D4 O10 C4 Q11 L15 L14 M14 N15 K14 L16 L13 K16 G12 B12 B11",P12,P12 B3 E2 
124,B,85.97,14.03,P10,"P10 B3 D4 N9 M10 C4 H11 Q10 H10 Q11 J11 A4 N15 O18 L15 L18 K18 D17 S18",Q10,P10 Q11 Q10 N15 O18 L15 J6 
125,W,84.12,15.88,M2,"M2 D4 Q12 Q9 C4 E2 B3 D4 M12 L12 C4 H11 H10 D4 L13 K13",Q12,M2 Q12 B3 Q9 Q11 N9 E2 M10 
126,B,86.87,13.13,Q9,"Q9 M2 D4 O2 E5 R1 L15 L14 M14 N15 K14 L13 K13 L12 M12 K12 K11 J12 J11 H11 H12 J13 K15 J14",Q9,Q9 P10 R10 L15 N15 N4 R11 P8 J6 
127,W,86.63,13.37,M2,"M2 D4 O2 E5 L13 K12 H12 Q1 N4 N6 O6 P2 K13 M12 M14 N13 O13 N14 O18 N15 L18",B3,M2 M10 B3 E2 O2 J2 M12 L13 H2 
128,B,90.40,9.60,D4,"D4 M12 C4 K13 O2 O6 O3 N4 N6 N2 P2 K11 N1",D4,D4 F10 
129,W,88.79,11.21,M12,"M12 C4 K13 O2 O6 O3 N4 N6 M2 K11 J11 M10 M1",K13,M12 L10 J2 H2 M10 N9 E2 
130,B,89.22,10.78,C4,"C4 M12 O2 O6 O3 N4 N6 M2 K11 J11 M10 M1 J2 O9 O7 P8",L13,C4 L13 E5 K12 J6 J11 
131,W,88.38,11.62,C4,"C4 L5 K6 D4 M12 L12 C4 J7 K7 D4 L10 M10 C4 H10 A4 H11 H9 G9",C4,C4 K14 
132,B,88.07,11.93,L5,"L5 K6 D4 M12 L12 C4 J7 K7 D4 L10 M10 C4 H10 A4 H11 H9 G9 J11 H12 J12 H13 K14 L14 L15 K15 J14 K16 O18",K6,L5 J7 J6 H11 F10 F9 K6 
133,W,90.35,9.65,J6,"J6 D4 M12 L12 C4 J7 K7 D4 L10 M10 C4 L5 K6 D4 J2 H2 C4 H11 A4 H10 H9 G9",J6,J6 K7 H2 J2 
134,B,92.36,7.64,D4,"D4 E2 C4 F1 H2 J1 M2 N2 F5 C2 E5 E3 D1 C1 B2 B1",D4,D4 L5 J7 
135,W,91.31,8.69,E2,"E2 C4 F1 H2 J1 F5 C2 E5 E3 M2 N2 D1 C1 B2 B1 A2 E1 G1",F5,E2 M10 M12 P10 L10 N9 Q11 L12 J2 H2 G6 K14 
136,B,93.51,6.49,G6,"G6 C4 L5 K7 D4 M12 L12 C4 J7 K6 D4 J2 H2 C4 F10 A4 F9 M2 J1",C4,G6 C4 E5 J7 L15 
137,W,92.94,7.06,G6,"G6 O18 M2 E2 O2 K15 R1 S1 Q1 G16 F13 C17 B17 D16 C18",G6,G6 M10 H2 J2 
