move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move
105,W,77.24,22.76,G11,"G11 L13 M15 D12 E10 D10 C11 F10 E9 F11 H10",G11
106,B,80.12,19.88,L13,"L13 M15 D12 E10 D10 C11 F10 E9 F11 H10 C12 B11 C9",G10
107,W,78.91,21.09,H10,"H10 F10 D12 C14",F10
108,B,80.27,19.73,F11,"F11 G9 H10 H9",E10
109,W,72.71,27.29,G9,"G9 C14 E9 D9 D10",F9
110,B,73.90,26.10,C14,"C14 L14 B15 H18",C14
111,W,73.57,26.43,L14,"L14 B15 H18 E9 F8 E8 D14",H18
112,B,81.33,18.67,M16,"M16 N17 M15 L14",K12
113,W,63.58,36.42,M15,"M15 J11 F11 L13",M15
114,B,66.98,33.02,J11,"J11 F11 H8 L13",M12
115,W,66.58,33.42,J11,"J11 B15 E9 D10 D9 C10 F18",J11
116,B,69.21,30.79,E9,"E9 F8 E8 F6 G5 E7 D7 D6 C6 D12",E9
117,W,67.46,32.54,F8,"F8 E8 F6 G5 E7 D7 D6 C6 D12 F11 D14",F8
118,B,69.71,30.29,H8,"H8 H9 B15 F6 G5 C9 E18 E17",H8
119,W,69.20,30.80,H9,"H9 B15 F6 G5 C9 B11 C7 E18 E17",G5
120,B,72.65,27.35,G6,"G6 H9 B15 F5",G6
121,W,67.25,32.75,H9,"H9 B15 F5 F4 E8 D8 D7",E8
122,B,70.46,29.54,C9,"C9 F5 F6",D8
123,W,62.82,37.18,D7,"D7 C8 C7 B7 F5",D7
124,B,69.56,30.44,C8,"C8 C7 B7 F5 F4 H5",C7
125,W,63.74,36.26,H9,"H9 B15 D14 D13 C13",D14
126,B,62.13,37.87,D13,"D13 C13 C12 B13 B12 B14 J9",D13
127,W,56.43,43.57,C13,"C13 C12 B13 B12 B14 J9 H9 J8 K9",F5
128,B,67.86,32.14,F4,"F4 C13 C12 B13",F6
129,W,66.66,33.34,E6,"E6 E5 C8 D9 C6",M8
130,B,79.87,20.13,H10,"H10 H9 G9",M7
131,W,63.38,36.62,M9,"M9 O9 N7 L7 E6",E6
132,B,73.85,26.15,E5,"E5 M9 L7",D6
133,W,54.36,45.64,E7,"E7 E5 M9 L7 H9 L9 L10",E7
134,B,65.05,34.95,E5,"E5 M9 L7 H9 L9 L10 O9 N7 O8",E5
135,W,66.82,33.18,M9,"M9 L7 H9 L9 L10 O9 N7 O8 K6",H5
136,B,66.47,33.53,J5,"J5 J6 H4 M9 O9",J5
137,W,64.26,35.74,J6,"J6 H4 M9 O9 N7 O8 M6 B15",H4
138,B,90.66,9.34,J4,"J4 H3 H2 J3",J4
139,W,83.17,16.83,H3,"H3 H2 J3 K3 J2 K2",H3
140,B,85.11,14.89,H2,"H2 J3 K3 J2 K2 H1 G2 F1",F4
141,W,67.85,32.15,J6,"J6 J3 H2 J2 H7 G7 H9",J6
142,B,73.31,26.69,H2,"H2 J3 K6 J7 K3 H7",H2
143,W,62.03,37.97,J3,"J3 K6 J7 K3 H7 J2 M9 O9",C8
144,B,85.95,14.05,D9,"D9 J3 K6 J7",D9
145,W,72.76,27.24,J3,"J3 K6 J7 K3 B7 C6 B12",J3
146,B,75.64,24.36,K6,"K6 J7 K3 B7 C6 B12 B11 C12 C13",K6
147,W,75.30,24.70,J7,"J7 K3 B7 C6 B12 B11 C12 C13 C9 C10",J7
148,B,68.04,31.96,K3,"K3 K5 K4 K2 L3 J2 H7 H9",K3
149,W,57.22,42.78,K5,"K5 K4 K2 L3 J2 H7 H9 L2 B7 C6 B12",K5
150,B,72.97,27.03,K4,"K4 K2 L3 J2 H7 H9 L2 B7 C6 B12 B11",K4
151,W,75.44,24.56,K2,"K2 L3 J2 H7 H9 L2 B7 C6 B12 B11 C12",H7
152,B,71.07,28.93,J2,"J2 M9 O9 B7 C6 B12 B13 C12",J2
153,W,68.27,31.73,M9,"M9 O9 B7 C6 B12 B13 C12 C13 C9",B11
154,B,71.00,29.00,B12,"B12 B7 C6 C9",B12
155,W,53.82,46.18,B7,"B7 C6 C9 C12 C11 F11",C12
156,B,63.42,36.58,C13,"C13 C9 B7 B13 B14",C13
157,W,59.09,40.91,B7,"B7 C9 C6 B9",B7
158,B,48.98,51.02,C9,"C9 C6 B9 M9 O9 F18 S17",C6
159,W,27.18,72.82,C9,"C9 B10 C10 A11 M9 O9 C11",C9
160,B,38.37,61.63,B10,"B10 C10 A11 B13 C11 L3 G4",B10
161,W,44.66,55.34,C10,"C10 A11 M9 O9 B9 C11 S14",C10
162,B,50.21,49.79,A11,"A11 M9 D12 C11 B14 O9",A11
163,W,51.97,48.03,M9,"M9 D12 C11 B14 B9 A10 O9",B9
164,B,69.69,30.31,C11,"C11 M9 D12 O9",C11
165,W,79.36,20.64,M9,"M9 D12 O9 P10 B4",S14
166,B,67.77,32.23,D12,"D12 R13 R15 Q13 S12 S13",D12
167,W,54.50,45.50,R13,"R13 R15 S13 Q12 Q13 P12",R13
168,B,66.72,33.28,R15,"R15 Q13 S12 S13 Q12 O13 N14 P12",R15
169,W,54.83,45.17,Q13,"Q13 S12 S13 Q12 O13 N14 P12",Q13
170,B,53.33,46.67,S12,"S12 S13 Q12 O13 N14 P12 P11 Q11",S12
171,W,51.91,48.09,S13,"S13 Q12 O13 N14 P12 P11 Q11 T11 S16 S15 T15",S13
172,B,59.06,40.94,O13,"O13 Q12 S15 T12 T14",O13
173,W,53.40,46.60,Q12,"Q12 S15 S9 T9 T10 S11 Q9 P10",S16
174,B,68.32,31.68,Q12,"Q12 M9 S15 T15 S17 R17 R16",Q12
175,W,63.13,36.87,M9,"M9 S15 T15 O9 B4 B5 F18 S17",B4
176,B,77.86,22.14,S15,"S15 T15 B5 M9",S15
177,W,64.00,36.00,T15,"T15 S17 R17 R16 T16",T15
178,B,66.70,33.30,S17,"S17 R17 R16 T16 T14 T13",E18
179,W,55.01,44.99,E17,"E17 G18 M9 S17 R17 R16",M9
180,B,67.42,32.58,E17,"E17 D18 B15",O9
181,W,32.19,67.81,E17,"E17 G18 B6 B5",B6
182,B,29.93,70.07,E17,"E17 D18 B15 D19",B5
183,W,34.00,66.00,A5,"A5 C4 B3 E17",A5
184,B,39.00,61.00,C4,"C4 B3 E17 D18 B15 B18",C4
185,W,33.84,66.16,B2,"B2 E17 D18 B15 B18",B3
186,B,34.69,65.31,E17,"E17 D18 B15 B18 A17 A18 C19 D19 G18",D18
187,W,13.46,86.54,E17,"E17 G18 C15 G16",E17
188,B,20.98,79.02,G18,"G18 C18 C15 B15 G16 B14 J16",G18
189,W,19.06,80.94,C18,"C18 C15 B15 G16 B14 J16 K16 J17 J15 J18",C18
190,B,18.11,81.89,C15,"C15 B15 G16 B14 J16 K16 J17 J15 J18 H15",C15
191,W,16.53,83.47,B15,"B15 G16 B14 J16 J15 H15 K18 H19 K17",B15
192,B,17.33,82.67,G16,"G16 B14 J16 J15 H15 K18 H19 K17 L18",B14
193,W,19.39,80.61,A15,"A15 G16 H15 C19 B19",F17
194,B,32.69,67.31,G16,"G16 F18 F19 E19 G19",G16
195,W,23.75,76.25,F18,"F18 F19 A15 J16 K16 J17",F18
196,B,22.15,77.85,F19,"F19 A15 J16 J15 H15",F19
197,W,16.19,83.81,E19,"E19 G19 K18 D19 C19 E19",H19
198,B,26.15,73.85,G19,"G19 A15 S17 R17 R16 T16 J16",G19
199,W,22.48,77.52,A15,"A15 J16 J15 H15 K18 S17",A15
200,B,17.97,82.03,J16,"J16 J15 H15 K18 S17 R17 R16 T16",J16
201,W,22.78,77.22,J15,"J15 H15 K18 S17 R17 R16 T16 T14 T13 T17",J15
202,B,28.44,71.56,H15,"H15 K18 S17 R17 R16 T16 T14 T13 T17 T14 T12 S18",H15
203,W,17.11,82.89,J17,"J17 K16 K18 S17",J17
204,B,46.53,53.47,S17,"S17 R17 R16 T16 T14 T13 T17",L7
205,W,6.76,93.24,L6,"L6 M6 G7 G4",L6
206,B,8.19,91.81,M6,"M6 G7 G4 A9 S17 R17",L9
207,W,7.41,92.59,L10,"L10 M6 G7 G4 A9 S17",L10
208,B,11.06,88.94,M6,"M6 G7 G4 A9 S17 R17 R16 T16",N6
209,W,4.87,95.13,G7,"G7 G4 A9 A17",G7
210,B,3.94,96.06,G4,"G4 A9 A17 A18 B18 B17 A19",G4
211,W,2.86,97.14,R17,"R17 A9 A6 A8 B8 A17",T14
212,B,53.75,46.25,K16,"K16 K18 M16",K16
213,W,19.72,80.28,K18,"K18 M16 N17 N15 L18",K18
214,B,40.71,59.29,M16,"M16 N17 N15 L18 M14 K17 A9 A6",H10
215,W,2.52,97.48,J10,"J10 M16 N17",H9
216,B,22.05,77.95,M16,"M16 N17 N15 L18 J9 K9",M16
217,W,13.39,86.61,N17,"N17 N15 K17 R17 S17 S18",N17
218,B,11.83,88.17,N15,"N15 K17 R17 S17 S18 T18 Q18 S19",J9
219,W,6.54,93.46,K9,"K9 G9 J12 N15",K9
