move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move
81,W,15.45,84.55,L13,"L13 E17 D13 E16 C6 D6 C5 D5 B4 C3 C8 C9",L12
82,B,15.91,84.09,E17,"E17 C6 D6 C5 D4 C8 C9 B8",E17
83,W,17.2,82.8,C6,"C6 D6 C5 D4 C8 C9 B8",D6
84,B,15.34,84.66,F8,"F8 D4 D3",F8
85,W,17.78,82.22,D4,"D4 D3 C3 E4 D5 B3",B6
86,B,17.02,82.98,E5,"E5 E6 F5 C9 C8 B8 B9",E4
87,W,13.21,86.79,F6,"F6 C10 G4",C9
88,B,20.11,79.89,C8,"C8 B8 B9 B10 B7 A9",C7
89,W,12.96,87.04,B4,"B4 C6 C5 D5",B4
90,B,18.67,81.33,C6,"C6 C5 D5 B5 C3 B7 D9",C6
91,W,16.42,83.58,C5,"C5 D5 B5 C3 B7 D9 C10 L4 H8",C5
92,B,15.52,84.48,D5,"D5 B5 C3 B7 D9 C10 L4 H8 N10 H6 E6 C8",D5
93,W,12.21,87.79,B5,"B5 C3 B7 D9 C10 L4 H8 N10 H6 E6 C8",B5
94,B,11.86,88.14,C3,"C3 B7 D9 C10 L4 H8 N10 H6 E6 C8",C3
95,W,10.01,89.99,B7,"B7 D9 C8 D7 D10 E10 E11 M3 K7 N10 L4 M4",B7
96,B,10.67,89.33,D9,"D9 C8 D7 D10 E10 E11 M3 K7 N10 L4 M4",J8
97,W,6.45,93.55,N3,"N3 L3 L4 K4",L3
98,B,8.02,91.98,N3,"N3 J4 J2 K7 K8",N3
99,W,6.92,93.08,J4,"J4 J2 K7 K8 J7 L8 M5 N5",J3
100,B,8.56,91.44,K4,"K4 L4 N5 M2 N2 G2 H3",K4
101,W,6.25,93.75,L4,"L4 N5 M2 N2 G2 H3 H2 K3 K2 J4",L4
102,B,7.21,92.79,N5,"N5 M2 N2 K6 J4 H4 H5",N5
103,W,5.36,94.64,M2,"M2 N2 K6 J4 H4 H5 G3",M2
104,B,5.47,94.53,N2,"N2 K6 J4 H4 H5 G3 H2 G2 H3 G4",N2
105,W,4.09,95.91,M7,"M7 N6 G2 G3 H3 F2 K5",K6
106,B,5.57,94.43,J4,"J4 H4 H5 G3 H2 G2 H3 G4 K3",K5
107,W,6.01,93.99,E5,"E5 D4 L5 J6",L5
108,B,3.96,96.04,H4,"H4 H3 H5 M7 N6 M8",H4
109,W,4.34,95.66,H3,"H3 H5 M7 N6 M8 N10 K8 J7",M7
110,B,3.9,96.1,N6,"N6 M9 N10 J7 K8 L7 M10",P7
111,W,2.98,97.02,M6,"M6 J6 K7 J7",H3
112,B,2.94,97.06,H5,"H5 M6 N10 J7 K8 M9",H5
113,W,2.59,97.41,L8,"L8 N10 G3 F2 L10 N12 D9",M6
114,B,3.43,96.57,N10,"N10 J7 K8 M9 L11 H8 H9 G9 G8 H7",C8
115,W,2.64,97.36,B8,"B8 D9 C10 N10",B8
116,B,3.27,96.73,D9,"D9 C10 N10 J7 H7 K8",D9
117,W,2.49,97.51,C10,"C10 N10 J7 H7 K8 J6 K7 N12",C10
118,B,2.52,97.48,N10,"N10 J7 H7 K8 J6 K7 N12",N11
119,W,2.15,97.85,Q11,"Q11 S9 J7",O4
120,B,2.22,97.78,N4,"N4 J7 K8 M9 L11 H8",N4
121,W,2.38,97.62,J7,"J7 K8 M9 L11 H8 H9",H6
122,B,2.53,97.47,G6,"G6 H7 K7 J7 K8 G7 F7",G6
123,W,2.33,97.67,H7,"H7 K7 J7 K8 G7 F7 G5 G4",H7
124,B,2.64,97.36,K7,"K7 J7 K8 G7 F7 G5 G4 F6 E6 H9",N13
125,W,2.31,97.69,M12,"M12 N12 N14 K7",N14
126,B,1.97,98.03,O14,"O14 N15 Q12 Q11 R11",O14
127,W,1.88,98.12,N15,"N15 Q12 Q11 R11 R12 P12",N15
128,B,2.62,97.38,Q12,"Q12 Q11 R11 R12 P12 S11 S9 G7",Q12
129,W,2.52,97.48,Q11,"Q11 R11 R12 P12 S11 S9 G7 F6 H9 G9 H8",G15
130,B,2.95,97.05,F17,"F17 G7",E15
131,W,3.6,96.4,D13,"D13 E16 D14 R12 G7",D13
132,B,2.69,97.31,E16,"E16 D14 R12 G7 F6 H15 G9",E16
133,W,2.74,97.26,D14,"D14 R12 H15 F18 G7 F6",G7
134,B,2.84,97.16,F6,"F6 H15 R12 H9 F14 H13 D14 M9",F6
135,W,2.44,97.56,H15,"H15 R12 H9 F14 H13 D14 M9",H15
136,B,2.56,97.44,R12,"R12 D14 F18 H9 L10 J11 G9 H8",F14
137,W,2.49,97.51,H13,"H13 R12 D14 F15",H13
138,B,3.26,96.74,R12,"R12 D14 F15 G16 F18 H9",D14
139,W,3.14,96.86,Q19,"Q19 R19 P19 Q18",Q11
140,B,4.08,95.92,R11,"R11 R12 P12 S11 S9 H9 K10",R11
141,W,2.86,97.14,R12,"R12 P12 S11 S9 H9 K10 J11 E13 M10 M11",R12
142,B,3.73,96.27,P12,"P12 S11 S9 H9 K10 J11 E13 M10 M11 L11 M8",P12
143,W,3.28,96.72,S11,"S11 S9 H9 K10 J11 E13 M10 M11 L11 M8 L8",S11
144,B,3.37,96.63,S9,"S9 H9 K10 J11 E13 M10 M11 L11 M8 L8",S9
145,W,2.78,97.22,H9,"H9 K10 J11 E13 M10 M11 L11 M8 L8",H9
146,B,3.06,96.94,K10,"K10 J11 E13 M10 M11 L11 M8 L8",L9
147,W,2.38,97.62,L8,"L8 K10 J9",Q19
148,B,3.03,96.97,R19,"R19 P19 Q18 O18 P18 O19 S18",Q18
149,W,2.65,97.35,P19,"P19 R19 O18 P18 O19 S18 E13",M9
150,B,3.7,96.3,M10,"M10 L8 K10 K9",L11
151,W,3.41,96.59,K11,"K11 L10 P19 R19 O18 P18 O19",K11
152,B,3.22,96.78,L10,"L10 P19 R19 O18 P18 O19 S18 E13",L10
153,W,2.59,97.41,L8,"L8 J9 G9 E13 M12",G4
154,B,2.96,97.04,G5,"G5 G3 F2 F9",G3
155,W,2.94,97.06,J5,"J5 G5 J4 E13",J5
156,B,3.22,96.78,G5,"G5 J4 E13 F7 E7",G5
157,W,2.31,97.69,J4,"J4 E13 F7 E7 E6 F4 H19",J4
158,B,2.21,97.79,E13,"E13 H19 G19 J19 F18 M12 B3 B15 B16",E13
159,W,1.98,98.02,H19,"H19 G19 J19 F18 M12 B3 B15 B16",H19
160,B,2.96,97.04,G19,"G19 J19 F18 M12 B3 B15 B16 A14 Q14 R14",G19
161,W,1.95,98.05,J19,"J19 F18 M12 B3 B15 B16 A14 Q14 R14 H2 J2",J19
162,B,2.09,97.91,F18,"F18 M12 B3 B15 B16 A14 Q14 R14 H2 J2 G2",F18
163,W,1.99,98.01,M12,"M12 B3 B15 B16 A14 Q14 R14 H2 J2 G2 P19 R19 O18",F7
164,B,2.11,97.89,E7,"E7 E6 F4 M12 B3 B15 B16",E7
165,W,2,98,E6,"E6 F4 M12 B3 B15 B16 A14 S14 R15 T15",P19
166,B,3.2,96.8,R19,"R19 B3 B2 O18",R19
167,W,2.51,97.49,O19,"O19 S18 B15 B16 A14 B3",O18
168,B,2.48,97.52,P18,"P18 O19 S18 B15 B16 A14 B3",P18
169,W,2.07,97.93,O19,"O19 S18 B15 B16 A14 B3 M12 L8",O19
170,B,2.08,97.92,S18,"S18 B15 B16 A14 B3 M12 L8 M8 O10",S19
171,W,2.24,97.76,B15,"B15 B16 A14 B3",M12
172,B,2.33,97.67,B15,"B15 E12 B3 G13 R2",D12
173,W,2.04,97.96,C12,"C12 A13 D11 A12",C12
174,B,2.17,97.83,A13,"A13 D11 A12 B3 B2",B3
175,W,1.65,98.35,B15,"B15 B16 A14 Q14 R14",B15
176,B,1.92,98.08,B16,"B16 A14 Q14 R14 R2 S2 Q2",B16
177,W,1.77,98.23,A15,"A15 H2 J2 G2 L8 J9",A14
178,B,1.79,98.21,Q14,"Q14 R14 R2 S2 Q2 P2 P3 Q1 P4 R1",M13
179,W,1.65,98.35,K12,"K12 S14 R15 T15",L13
180,B,1.75,98.25,Q14,"Q14 T10 T9 R14",J11
181,W,1.43,98.57,K12,"K12 G13 H14",J10
182,B,2.46,97.54,K10,"K10 K12 H8 H11 G8 G2",H11
183,W,1.58,98.42,K10,"K10 G10 J12 G13",K12
184,B,1.86,98.14,G10,"G10 G9 F10 L8 K9 G2",G10
185,W,1.93,98.07,G9,"G9 F10 L8 K9 G2 F2 H2 D11",G9
186,B,1.97,98.03,F10,"F10 L8 K9 G2 F2 H2 D11 G13 G12 F9 E10",F10
187,W,1.95,98.05,L8,"L8 K9 G2 F2 H2 D11 G13 G12 F9 E10 P13",D11
188,B,1.92,98.08,L8,"L8 M8 O10",O13
189,W,2.1,97.9,L8,"L8 K9 G2 F2",R14
190,B,2.1,97.9,L8,"L8 M8 N10 G2 F2",E12
191,W,2.5,97.5,L8,"L8 K9 G2 F2",E11
192,B,2.43,97.57,F9,"F9 G2 F2 H2",F9
193,W,2.43,97.57,L8,"L8 K9 G2 F2 H2 G16",L8
194,B,2.68,97.32,K9,"K9 G2 F2 H2 G16 G13 A4 F1 E1",K9
195,W,2.67,97.33,G2,"G2 F2 H2 G16 G13 A4 F1 E1 G1 E2 Q2",G2
196,B,2.68,97.32,F2,"F2 H2 G16 G13 A4 F1 E1 G1 E2 Q2 N6",F2
197,W,2.65,97.35,H2,"H2 G16 G13 A4 F1 E1 G1 E2 Q2 N6 K8 J9",H2
198,B,2.66,97.34,G16,"G16 G13 A4 F1 E1 G1 E2 Q2 N6 K8 J9",O5
199,W,2.43,97.57,P2,"P2 R2 S2",R2
200,B,2.89,97.11,G16,"G16 G14 G13 G12 F13",G16
201,W,2.57,97.43,G14,"G14 G13 G12 F13 H14 F15",G13
202,B,3.27,96.73,A4,"A4 F1 E1 G1 E2 P2 J7",P2
203,W,3.3,96.7,A3,"A3 A2 A4",F1
204,B,3.63,96.37,E1,"E1 G1 C2 K8 J9 J7 N9",E1
205,W,3.44,96.56,G1,"G1 C2 K8 J9 J7 N9 M10 M11",G1
206,B,3.29,96.71,C2,"C2 K8 J9 J7 N9 M10 M11 M8 P4",C2
207,W,3.17,96.83,K8,"K8 J9 J7 N9 M10 M11 M8 P4 P3 O3 Q2 N6",S10
208,B,3.95,96.05,T9,"T9 O3 J7",T9
209,W,3.25,96.75,O3,"O3 J7 J6 O2 P14 T10",T10
210,B,3.65,96.35,T7,"T7 S12 J7 J6 P4 P3 O3",T7
211,W,3.31,96.69,T12,"T12 J7 J6 P4 P3 O3 Q2 N12",N12
212,B,3.71,96.29,O11,"O11 S12 J7 J6 P4 P3 O3 Q2 N6 P14",O11
213,W,3.44,96.56,S12,"S12 J7 J6 P4 P3 O3 Q2 N6 P14 P13 O15 Q14",S12
214,B,3.47,96.53,J7,"J7 J6 P4 P3 O3 Q2 N6 P14 P13 O15 Q14 Q15 Q13 M14",J7
215,W,3.54,96.46,J6,"J6 P4 P3 O3 Q2 N6 P14 P13 O15 Q14 Q15 Q13 M14 O10",J6
216,B,3.5,96.5,P4,"P4 P3 O3 Q2 N6 P14 P13 O15 Q14 Q15 Q13 M14 O10",L2
217,W,3.41,96.59,K2,"K2 N1 M1 M3",K2
218,B,3.45,96.55,N1,"N1 M1 M3 L1 P4 P3 O3",N1
219,W,3.4,96.6,M1,"M1 M3 L1 P4 P3 O3 Q2 Q1 R1",M1
220,B,3.8,96.2,M3,"M3 L1 P4 P3 O3 Q2 Q1 R1 P1 P14 N6 F15",P4
221,W,3.31,96.69,Q2,"Q2 M3 L1 P3",P3
222,B,3.47,96.53,O3,"O3 P14 M3 L1 N6",O3
223,W,3.18,96.82,P14,"P14 M3 L1 N6 O15 O12 F15 F16",N6
224,B,3.63,96.37,O6,"O6 F15 M3 L1 Q2 R1 Q1 P14",O6
225,W,3.57,96.43,F15,"F15 M3 L1 Q2 R1 Q1 P14 O15",N10
226,B,3.47,96.53,O10,"O10 M11 M10",M11
227,W,4.09,95.91,Q2,"Q2 Q1 M8 O10",M8
228,B,3.55,96.45,O10,"O10 F15 M3 L1 Q2 R1",O10
229,W,3.13,96.87,P14,"P14 Q2 R1 Q1 F15 M3 L1 A4",F15
230,B,4.14,95.86,M3,"M3 L1 Q2 R1 Q1 P14 A4 A5 A3",O17
231,W,2.8,97.2,M18,"M18 T15 T14 T16 P14",M18
232,B,3.83,96.17,T15,"T15 T14 T16 P14 M3 L1 Q2",J12
233,W,4.48,95.52,E6,"E6 F4 J13 G14",J13
234,B,3.8,96.2,M3,"M3 L1 G14 H14",G14
235,W,3.31,96.69,H14,"H14 M3 L1 T15 T14 T16",H14
236,B,3.72,96.28,M3,"M3 L1 T15 T14 T16 P14 Q2 R1",F12
237,W,3.14,96.86,Q2,"Q2 Q1 R1 P1",Q2
238,B,3.3,96.7,Q1,"Q1 R1 P1 P14 M3 L1",Q1
239,W,3.11,96.89,R1,"R1 P1 P14 M3 L1 A4 A5 A3",R1
240,B,3.39,96.61,P1,"P1 P14 M3 L1 A4 A5 A3 F16 F17 T16",P1
241,W,3.33,96.67,P14,"P14 M3 L1 A4 A5 A3 F16 F17 T16 T17",F16
242,B,3.93,96.07,F17,"F17 P14 M3 L1 T15 T14 T16 O15",F17
243,W,3.7,96.3,P14,"P14 M3 L1 T15 T14 T16 O15",E10
244,B,4.33,95.67,E9,"E9 T16 T17 T15 M3 L1 A4 A5",E9
245,W,3.64,96.36,T16,"T16 T17 T15 M3 L1 A4 A5 A3 P14 A16 O15",P14
246,B,4.63,95.37,T15,"T15 P13 O12 T14 T16",P13
247,W,3.82,96.18,P15,"P15 M3 L1",P15
248,B,5.48,94.52,M3,"M3 L1 T15 T14 T16 A3",Q13
249,W,3.76,96.24,T16,"T16 T17 T15 M3 L1 A16",Q14
250,B,8.64,91.36,M3,"M3 L1 T15 T14 T16 A3 A2",A16
251,W,3.4,96.6,A3,"A3 A2 A4 A15",A15
252,B,8.64,91.36,M3,"M3 L1 M14 M15",M14
253,W,3.72,96.28,M15,"M15 M3 L1 T15 T14 T16",M15
254,B,6.01,93.99,M3,"M3 L1 T15 T14 T16 A3",M3
255,W,3.53,96.47,L1,"L1 T15 T14 T16 A3 A2 A4",L1
256,B,4.67,95.33,T15,"T15 T14 T16 A3 A2 A4 K7 T4 T5",T15
257,W,3.88,96.12,T14,"T14 T16 A3 A2 A4 K7 T4 T5 P5 N8 D10",T14
258,B,3.8,96.2,T16,"T16 A3 A2 A4 K7 T4 T5 P5 N8 D10 O4",T16
259,W,3.59,96.41,T4,"T4 A4 A5 A3 K7 T5 N8 D10",A3
260,B,4.23,95.77,A2,"A2 A4 K7 T4 T5 P5 N8 D10 O4 F13 E14 G12",A2
261,W,4,96,A4,"A4 K7 T4 T5 P5 N8 D10 O4 F13 E14 G12",A4
262,B,3.91,96.09,K7,"K7 N8 T4 T3 T5 P5 D10 O4 G11 C11 P4",K7
263,W,3.18,96.82,N8,"N8 T4 T3 T5 P5 D10 O4 G11 C11 P4 F13 E14",T4
264,B,3.77,96.23,T5,"T5 P5 N8 D10 O4 F13 E14 G12",N8
265,W,4.03,95.97,P5,"P5 T5 D10 O4 F13",T5
266,B,3.96,96.04,P5,"P5 S6 D10 S5 G11",P5
267,W,3.66,96.34,S6,"S6 D10 S5 G11 C11 G12 F13",G12
268,B,3.73,96.27,G11,"G11 S6 D10 C11",G11
269,W,2.92,97.08,S6,"S6 D10 C11 S5 J9 K8 S6",D10
270,B,4.18,95.82,S6,"S6 F13 E14 O12 H12 K13 G8 H8",S6
271,W,4.56,95.44,F13,"F13 E14 O12 H12 K13 G8 H8 N9 M10 M5",F13
272,B,4.25,95.75,E14,"E14 O12 H12 K13 G8 H8 N9 M10 M5 O15 M4",E14
273,W,4.21,95.79,O12,"O12 H12 K13 G8 H8 N9 M10 M5 O15 M4",M5
274,B,4.4,95.6,L7,"L7 J9 K8 O12 H12 K13 G8 H8 H10 O15 M10",L7
275,W,4.46,95.54,O12,"O12 H12 K13 G8 H8 N9 M10 H10",J9
276,B,4.22,95.78,K8,"K8 O12 H12 K13 G8 H8 H10 O15 M10 N9",K8
277,W,4.06,95.94,O12,"O12 H12 K13 G8 H8 H10 O15 M10 N9",O12
278,B,3.98,96.02,H12,"H12 K13 G8 H8 H10 O15 M10 N9",K10
279,W,3.89,96.11,O15,"O15 G8 H8",O15
280,B,26.17,73.83,H12,"H12 K13 G8 H8 H10",M10
281,W,4.94,95.06,N9,"N9 G8 H8",N9
282,B,6.02,93.98,G8,"G8 H8 H12 K13 H10",H12
283,W,6.19,93.81,K13,"K13 G8 H8 H10 L6 M4",K13
284,B,7,93,G8,"G8 H8 H10 L6 M4 K3",H8
285,W,5.22,94.78,G8,"G8 H10 L6 M4 K3",G8
286,B,10.28,89.72,H10,"H10 L6 M4 K3 E19 L16 Q7 K17",H10
287,W,3.88,96.12,L6,"L6 M4 K3 E19 L16 Q7 K17 R7",L6
288,B,3.72,96.28,M4,"M4 K3 E19 L16 Q7 K17 R7",M4
