move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move
82,B,59.76,40.24,N15,"N15 O18 O13 L17 L16 L18",G8
83,W,46.70,53.30,K9,"K9 L9 K10 L10",L9
84,B,55.93,44.07,M8,"M8 J9 D4 R3 S3 S2",M8
85,W,54.49,45.51,J9,"J9 D4 R3 S3 S2 R2 Q3",K9
86,B,56.72,43.28,Q3,"Q3 Q2 R2 N10 D4",N10
87,W,56.15,43.85,R3,"R3 S3 S2 Q3 R2 Q2 Q4",G10
88,B,58.74,41.26,D4,"D4 R3 S3 R2",Q3
89,W,56.07,43.93,Q2,"Q2 R2 E2 D4 Q4 R3",Q2
90,B,59.09,40.91,R2,"R2 E2 D4 Q4 R3 C4 J6 K7",R2
91,W,58.44,41.56,E2,"E2 D4 Q4 R3 C4 J6 K7 D4",Q5
92,B,56.91,43.09,R5,"R5 P6 Q7 Q4 R3 O5 O2",R5
93,W,55.47,44.53,P6,"P6 P4 O4 O5 P5",P6
94,B,58.70,41.30,P4,"P4 O4 O5 P5 Q4 O6",P4
95,W,57.88,42.12,Q7,"Q7 R6 O4 O5 P5 Q4 O6 N5",O4
96,B,58.82,41.18,O5,"O5 P5 Q4 O6 N5 Q7 R6 E2",Q7
97,W,68.68,31.32,O8,"O8 M9 P5 Q4 P9",P7
98,B,62.06,37.94,P8,"P8 O8 P9 M9",O5
99,W,44.01,55.99,P5,"P5 Q4 P8 M9 Q8",B5
100,B,60.13,39.87,C6,"C6 B3 D4 P5 Q4",D4
101,W,59.49,40.51,P5,"P5 Q4 C4 C6 B3 D4 H2",P5
102,B,62.82,37.18,Q4,"Q4 C4 C6 B3 D4 H2 J2 C4 J6",Q4
103,W,66.11,33.89,C4,"C4 C6 B3 D4 H2 J2 C4 J6 A4 K7",C4
104,B,70.46,29.54,C6,"C6 B3 D4 H2 J2 C4 J7 A4 K7 K16 L15 J17",C6
105,W,70.94,29.06,B3,"B3 D4 J2 H2 C4 J7 K7 D4 M9 C4 O8 P8",O8
106,B,68.70,31.30,B3,"B3 M9 N9",M9
107,W,66.95,33.05,N5,"N5 P9 B3 D4 O9",N5
108,B,67.16,32.84,P9,"P9 B3 D4 O9 O10 C4 J6 K7",Q8
109,W,78.23,21.77,B3,"B3 D4 J2 H2 C4",O10
110,B,85.25,14.75,O11,"O11 P10 P8 N9 M10 O6",O11
111,W,83.01,16.99,P10,"P10 P8 N9 M10 O6 O14",P9
112,B,85.18,14.82,O14,"O14 P13 O13 P11",O14
113,W,80.41,19.59,P11,"P11 P13 Q14 O12",N11
114,B,89.74,10.26,M11,"M11 N12 P13 Q14",M11
115,W,85.86,14.14,N12,"N12 P13 Q14 P11 M13 L11 Q9",N12
116,B,89.02,10.98,M12,"M12 N13 P13 Q14 M14 M13 L13 N14",P13
117,W,86.16,13.84,Q14,"Q14 M12 N13 M14 M13 L13 N14 N15 L14",Q14
118,B,88.99,11.01,M12,"M12 N13 M14 M13 L13 N14 N15 L14 O13",L11
119,W,82.53,17.47,J10,"J10 P11 M13 K12",J10
120,B,81.36,18.64,P11,"P11 M13 K12 Q9 N13 M12",M13
121,W,78.42,21.58,P11,"P11 O12 B3 D4 N13 N14 C4",O12
122,B,91.71,8.29,P11,"P11 P12 P10 O9",P11
123,W,87.82,12.18,P12,"P12 P10 O9 Q12 Q9 Q11 B3",P12
124,B,90.97,9.03,P10,"P10 O9 Q9 Q12 R11 M2",Q10
125,W,82.27,17.73,Q12,"Q12 Q9 B3 D4 M12 L12",Q12
126,B,87.20,12.80,Q9,"Q9 B3 D4 M12 L12 C4 J6 K7",Q9
127,W,86.55,13.45,B3,"B3 D4 M12 L12 C4 J6 K7 D4",B3
128,B,86.40,13.60,D4,"D4 M12 C4 K13 J11 J12",D4
129,W,79.41,20.59,L10,"L10 M10 C4 J6 K7 D4 M12 C4 K13",K13
130,B,94.72,5.28,C4,"C4 M12 J11 J12 K12",L13
131,W,85.42,14.58,C4,"C4 J7 K7 D4 M12",C4
132,B,90.20,9.80,J7,"J7 K7 D4 M12 L12 C4 L5 K6",K6
133,W,73.45,26.55,J6,"J6 J7 K7 D4",J6
134,B,72.69,27.31,D4,"D4 M12 L12 C4 J7 K7",D4
135,W,70.97,29.03,M12,"M12 L12 C4 J7 K7 D4 L10 M10 C4",F5
136,B,92.29,7.71,G6,"G6 C4 J7 K7",C4
137,W,91.99,8.01,G6,"G6 E2 K14 N15 L15",G6
138,B,94.72,5.28,L15,"L15 E2 M2 N2 M1",L15
139,W,92.35,7.65,M2,"M2 E2 O2 N4",N15
140,B,94.04,5.96,K14,"K14 E2 M2 N13 C17 B17 D16 C18",K14
141,W,92.03,7.97,E2,"E2 M2 N13 C17 B17 D16 C18 D17 C15 D13",K18
142,B,97.91,2.09,E2,"E2 J17 N13 O13",J17
143,W,97.69,2.31,J18,"J18 H17 H18",J18
144,B,98.26,1.74,E2,"E2 H17 C17 B17",E2
145,W,98.02,1.98,H17,"H17 C17 B17 D16 C18 E14 H15",H17
146,B,98.13,1.87,C17,"C17 B17 D16 C18 E14 H15 D15 C15 D13",C17
147,W,98.11,1.89,B17,"B17 D16 C18 E14 H15 D15 C15 D13",B17
148,B,98.17,1.83,D16,"D16 C18 E14 H15 D15 C15 D13 C14",D16
149,W,98.15,1.85,C18,"C18 E14 H15 D15 C15 D13 C14 D17",C18
150,B,98.23,1.77,E14,"E14 H15 D15 C15 D13 C14 D17",C15
151,W,98.20,1.80,D17,"D17 B16 C17 C14 D13 B15 D15 B11 E16 H16 G17 N13 O18",D17
152,B,98.28,1.72,B16,"B16 C17 C14 D13 B15 D15 B11 E16 H16 G17 N13 O18 F7 O2 N4 O6",C14
153,W,97.39,2.61,D13,"D13 B15 D15 B11 E16 N13 O13 N14 O18 H16 J16",D13
154,B,98.24,1.76,B15,"B15 D15 B11 E16 N13 O13 N14 O18 H16 J16",B15
